frame_index,time_iso,image_url
0,2025-11-30T18:00:21Z,images/goes_c13_frame_00.png
1,2025-11-30T18:10:21Z,images/goes_c13_frame_01.png
2,2025-11-30T18:20:21Z,images/goes_c13_frame_02.png
3,2025-11-30T18:30:21Z,images/goes_c13_frame_03.png
4,2025-11-30T18:40:21Z,images/goes_c13_frame_04.png
5,2025-11-30T18:50:21Z,images/goes_c13_frame_05.png
6,2025-11-30T19:00:21Z,images/goes_c13_frame_06.png
7,2025-11-30T19:10:21Z,images/goes_c13_frame_07.png
8,2025-11-30T19:20:21Z,images/goes_c13_frame_08.png
9,2025-11-30T19:30:21Z,images/goes_c13_frame_09.png
10,2025-11-30T19:40:21Z,images/goes_c13_frame_10.png
11,2025-11-30T19:50:21Z,images/goes_c13_frame_11.png
12,2025-11-30T20:00:21Z,images/goes_c13_frame_12.png
13,2025-11-30T20:10:21Z,images/goes_c13_frame_13.png
14,2025-11-30T20:20:21Z,images/goes_c13_frame_14.png
15,2025-11-30T20:30:21Z,images/goes_c13_frame_15.png
16,2025-11-30T20:40:21Z,images/goes_c13_frame_16.png
17,2025-11-30T20:50:21Z,images/goes_c13_frame_17.png
18,2025-11-30T21:00:21Z,images/goes_c13_frame_18.png
19,2025-11-30T21:10:21Z,images/goes_c13_frame_19.png
20,2025-11-30T21:20:21Z,images/goes_c13_frame_20.png
21,2025-11-30T21:30:21Z,images/goes_c13_frame_21.png
22,2025-11-30T21:40:21Z,images/goes_c13_frame_22.png
23,2025-11-30T21:50:21Z,images/goes_c13_frame_23.png
24,2025-11-30T22:00:21Z,images/goes_c13_frame_24.png
25,2025-11-30T22:10:21Z,images/goes_c13_frame_25.png
26,2025-11-30T22:20:21Z,images/goes_c13_frame_26.png
27,2025-11-30T22:30:21Z,images/goes_c13_frame_27.png
28,2025-11-30T22:40:21Z,images/goes_c13_frame_28.png
29,2025-11-30T22:50:21Z,images/goes_c13_frame_29.png
30,2025-11-30T23:00:21Z,images/goes_c13_frame_30.png
31,2025-11-30T23:10:21Z,images/goes_c13_frame_31.png
32,2025-11-30T23:20:21Z,images/goes_c13_frame_32.png
33,2025-11-30T23:30:21Z,images/goes_c13_frame_33.png
34,2025-11-30T23:40:21Z,images/goes_c13_frame_34.png
35,2025-11-30T23:50:21Z,images/goes_c13_frame_35.png
