zone_id,industry_group,jobs
83123,Transportation,612
83123,Government,475
83123,Healthcare,462
83123,Hospitality,76
83123,Manufacturing,1010
83123,Professional Services,192
18022,Healthcare,170
18022,Government,219
18022,Manufacturing,283
18022,Professional Services,83
18022,Transportation,62
18022,Education,779
149012,Hospitality,2285
149012,Education,9
149012,Professional Services,133
149012,Healthcare,747
149012,Government,18
149012,Transportation,46
191032,Professional Services,1037
191032,Healthcare,408
191032,Manufacturing,3258
191032,Retail,2008
191032,Transportation,409
94001,Transportation,273
94001,Manufacturing,530
94001,Hospitality,188
94001,Education,473
43003,Manufacturing,183
43003,Professional Services,233
43003,Retail,825
43003,Government,223
146021,Retail,961
146021,Manufacturing,1269
146021,Government,2175
146021,Professional Services,1832
146021,Education,1031
146021,Transportation,222
13022,Manufacturing,1325
13022,Retail,1124
13022,Healthcare,449
13022,Professional Services,709
159012,Retail,73
159012,Education,144
159012,Professional Services,589
159012,Manufacturing,378
209033,Manufacturing,1460
209033,Professional Services,312
209033,Transportation,650
209033,Retail,524
170462,Transportation,164
170462,Government,84
170462,Professional Services,160
170462,Retail,128
170462,Healthcare,640
170462,Education,15
178011,Education,338
178011,Government,378
178011,Healthcare,60
178011,Manufacturing,412
85074,Professional Services,288
85074,Healthcare,712
85074,Transportation,64
85074,Government,875
85074,Hospitality,156
85074,Retail,153
218002,Retail,38
218002,Education,118
218002,Hospitality,93
218002,Transportation,33
218002,Government,2
218002,Healthcare,38
131031,Manufacturing,51
131031,Retail,198
131031,Hospitality,46
131031,Government,21
131031,Healthcare,68
15003,Manufacturing,22
15003,Healthcare,76
15003,Hospitality,605
15003,Retail,129
15003,Education,179
15003,Professional Services,80
10003,Transportation,125
10003,Retail,26
10003,Professional Services,57
10003,Manufacturing,419
10003,Healthcare,101
20013,Government,241
20013,Retail,878
20013,Transportation,200
20013,Hospitality,499
20013,Education,580
51012,Healthcare,41
51012,Manufacturing,22
51012,Education,629
51012,Transportation,107
208104,Hospitality,123
208104,Education,1
208104,Retail,174
208104,Manufacturing,127
208104,Healthcare,43
208104,Government,40
28043,Transportation,292
28043,Retail,2205
28043,Education,20
28043,Manufacturing,1391
28043,Hospitality,2854
24021,Retail,111
24021,Transportation,25
24021,Hospitality,407
24021,Government,94
24021,Education,840
83073,Manufacturing,703
83073,Professional Services,817
83073,Transportation,396
83073,Education,5
132063,Education,99
132063,Manufacturing,124
132063,Transportation,25
132063,Healthcare,10
132063,Hospitality,244
134161,Professional Services,126
134161,Healthcare,459
134161,Hospitality,305
134161,Manufacturing,18
134161,Education,201
133092,Professional Services,31
133092,Education,93
133092,Retail,522
133092,Healthcare,1153
133092,Hospitality,199
154081,Education,114
154081,Transportation,50
154081,Professional Services,120
154081,Retail,6
154081,Manufacturing,131
154081,Government,220
29051,Government,641
29051,Retail,730
29051,Transportation,1002
29051,Education,118
29051,Healthcare,43
93081,Education,18
93081,Retail,300
93081,Manufacturing,276
93081,Government,160
93081,Hospitality,106
93081,Professional Services,193
200252,Professional Services,69
200252,Hospitality,330
200252,Education,784
200252,Retail,69
200252,Healthcare,139
201091,Transportation,69
201091,Government,280
201091,Retail,372
201091,Education,51
201091,Healthcare,280
174053,Retail,855
174053,Manufacturing,314
174053,Healthcare,2413
174053,Education,2497
174053,Hospitality,3498
170682,Healthcare,223
170682,Hospitality,531
170682,Retail,434
170682,Government,8
170682,Transportation,590
83071,Hospitality,338
83071,Education,120
83071,Manufacturing,31
83071,Government,209
9021,Education,1210
9021,Manufacturing,1261
9021,Healthcare,516
9021,Retail,803
96034,Professional Services,66
96034,Government,52
96034,Transportation,94
96034,Healthcare,147
96034,Education,80
96034,Hospitality,164
93072,Retail,451
93072,Manufacturing,782
93072,Government,347
93072,Education,602
134091,Education,154
134091,Professional Services,60
134091,Retail,81
134091,Manufacturing,16
211013,Transportation,295
211013,Hospitality,7
211013,Government,189
211013,Education,56
208112,Professional Services,126
208112,Healthcare,218
208112,Education,32
208112,Retail,1525
208112,Manufacturing,146
208112,Transportation,112
83741,Government,225
83741,Hospitality,390
83741,Transportation,549
83741,Professional Services,456
83741,Healthcare,1893
83431,Hospitality,151
83431,Retail,164
83431,Healthcare,127
83431,Government,1077
83431,Education,590
79102,Hospitality,63
79102,Transportation,60
79102,Government,55
79102,Professional Services,622
79102,Healthcare,466
79102,Manufacturing,363
152002,Government,36
152002,Healthcare,551
152002,Retail,352
152002,Hospitality,139
152002,Professional Services,184
152002,Transportation,117
133082,Government,87
133082,Transportation,55
133082,Retail,192
133082,Professional Services,55
133082,Manufacturing,20
133082,Healthcare,70
97052,Government,234
97052,Manufacturing,527
97052,Healthcare,32
97052,Education,153
132061,Healthcare,217
132061,Transportation,168
132061,Professional Services,263
132061,Education,545
159021,Retail,2679
159021,Education,700
159021,Hospitality,725
159021,Government,577
97043,Healthcare,204
97043,Education,359
97043,Government,396
97043,Professional Services,1504
80064,Healthcare,78
80064,Government,189
80064,Transportation,18
80064,Hospitality,86
96023,Professional Services,219
96023,Transportation,535
96023,Retail,151
96023,Healthcare,948
96023,Government,259
96023,Education,308
83671,Healthcare,202
83671,Transportation,203
83671,Government,304
83671,Hospitality,303
83671,Retail,266
134111,Education,348
134111,Government,120
134111,Retail,139
134111,Manufacturing,66
134111,Professional Services,309
170501,Education,516
170501,Professional Services,1219
170501,Government,682
170501,Hospitality,226
170501,Healthcare,492
191051,Transportation,349
191051,Education,413
191051,Government,2505
191051,Healthcare,1297
191051,Retail,9
194031,Retail,943
194031,Hospitality,963
194031,Professional Services,0
194031,Manufacturing,2274
186151,Healthcare,163
186151,Professional Services,57
186151,Education,438
186151,Retail,192
85094,Retail,135
85094,Government,46
85094,Professional Services,314
85094,Transportation,680
85094,Hospitality,122
85094,Education,72
85072,Government,243
85072,Education,382
85072,Hospitality,180
85072,Manufacturing,991
85072,Retail,640
170601,Transportation,1592
170601,Manufacturing,313
170601,Education,1341
170601,Government,294
170601,Professional Services,810
85055,Healthcare,570
85055,Education,60
85055,Professional Services,350
85055,Government,147
85055,Manufacturing,48
133232,Transportation,248
133232,Government,87
133232,Education,130
133232,Healthcare,319
133232,Hospitality,746
207051,Manufacturing,111
207051,Healthcare,35
207051,Education,358
207051,Retail,24
207051,Professional Services,23
207051,Hospitality,116
31093,Government,31
31093,Hospitality,66
31093,Manufacturing,72
31093,Professional Services,143
31093,Transportation,211
31093,Healthcare,93
186122,Education,2060
186122,Retail,808
186122,Government,260
186122,Professional Services,630
127001,Professional Services,2631
127001,Retail,794
127001,Government,384
127001,Manufacturing,1100
127001,Hospitality,1220
185241,Retail,491
185241,Education,872
185241,Hospitality,31
185241,Government,94
185241,Transportation,207
97045,Transportation,400
97045,Healthcare,247
97045,Hospitality,337
97045,Government,985
97045,Education,639
97045,Manufacturing,1852
204051,Hospitality,151
204051,Education,1382
204051,Professional Services,613
204051,Manufacturing,358
27032,Government,365
27032,Hospitality,65
27032,Education,74
27032,Professional Services,368
27032,Retail,117
27032,Transportation,23
76012,Healthcare,354
76012,Retail,642
76012,Manufacturing,446
76012,Education,1061
101123,Transportation,1298
101123,Manufacturing,2391
101123,Healthcare,147
101123,Professional Services,527
101123,Hospitality,2577
101123,Government,278
193052,Government,950
193052,Professional Services,149
193052,Transportation,86
193052,Manufacturing,566
53011,Healthcare,2164
53011,Manufacturing,2071
53011,Professional Services,1151
53011,Education,2006
95021,Transportation,27
95021,Healthcare,107
95021,Retail,18
95021,Manufacturing,1
95021,Education,18
4001,Manufacturing,187
4001,Transportation,241
4001,Professional Services,899
4001,Retail,1988
4001,Hospitality,81
4001,Education,392
190021,Professional Services,433
190021,Hospitality,15
190021,Transportation,751
190021,Education,225
190021,Retail,531
97042,Transportation,289
97042,Retail,70
97042,Hospitality,452
97042,Professional Services,570
34011,Healthcare,95
34011,Hospitality,1119
34011,Education,5
34011,Retail,149
34011,Manufacturing,596
173071,Education,95
173071,Government,29
173071,Retail,90
173071,Hospitality,88
9022,Professional Services,156
9022,Hospitality,573
9022,Manufacturing,116
9022,Education,0
9022,Transportation,556
9022,Government,83
42001,Professional Services,1428
42001,Education,510
42001,Retail,158
42001,Healthcare,155
42001,Hospitality,241
38001,Government,1511
38001,Healthcare,315
38001,Education,4004
38001,Transportation,68
38001,Professional Services,939
170472,Retail,478
170472,Manufacturing,441
170472,Professional Services,132
170472,Healthcare,82
40002,Government,278
40002,Transportation,135
40002,Retail,22
40002,Education,125
40002,Hospitality,313
168091,Government,461
168091,Manufacturing,3
168091,Retail,97
168091,Professional Services,50
168091,Healthcare,213
168091,Education,328
206023,Government,1259
206023,Healthcare,338
206023,Education,111
206023,Retail,897
206023,Hospitality,1373
206023,Manufacturing,143
200443,Government,396
200443,Retail,52
200443,Education,81
200443,Professional Services,1775
200443,Healthcare,128
133231,Manufacturing,110
133231,Retail,406
133231,Hospitality,128
133231,Transportation,97
133231,Healthcare,116
133231,Education,266
133081,Transportation,1192
133081,Hospitality,58
133081,Healthcare,137
133081,Education,404
133081,Professional Services,1026
133081,Manufacturing,52
98054,Hospitality,1117
98054,Education,26
98054,Manufacturing,675
98054,Professional Services,155
178083,Professional Services,98
178083,Healthcare,21
178083,Retail,395
178083,Manufacturing,1918
178083,Education,76
178083,Transportation,1815
25023,Professional Services,23
25023,Retail,144
25023,Hospitality,245
25023,Healthcare,181
25023,Transportation,367
142004,Manufacturing,224
142004,Healthcare,717
