"tract","yr_id","full_name","jobs"
"1","2022","Military","0"
"1","2022","Agriculture and Mining","0"
"1","2022","Construction","11"
"1","2022","Manufacturing","2"
"1","2022","Wholesale Trade","1"
"1","2022","Retail Trade","7"
"1","2022","Finance and Real Estate","10"
"1","2022","Professional and Business Services","37"
"1","2022","Government","69"
"1","2022","Education","2"
"1","2022","Healthcare","7"
"1","2022","Transportation and Warehousing","0"
"1","2022","Utilities","0"
"1","2022","Entertainment","22"
"1","2022","Accommodation","0"
"1","2022","Food","219"
"1","2022","Other","18"
"1","2022","Non-Wage & Salary, Work From Home","195"
"1","2022","Non-Wage & Salary, Other","385"
"1","2026","Military","0"
"1","2026","Agriculture and Mining","0"
"1","2026","Construction","12"
"1","2026","Manufacturing","1"
"1","2026","Wholesale Trade","1"
"1","2026","Retail Trade","5"
"1","2026","Finance and Real Estate","10"
"1","2026","Professional and Business Services","37"
"1","2026","Government","62"
"1","2026","Education","3"
"1","2026","Healthcare","9"
"1","2026","Transportation and Warehousing","0"
"1","2026","Utilities","0"
"1","2026","Entertainment","29"
"1","2026","Accommodation","0"
"1","2026","Food","218"
"1","2026","Other","18"
"1","2026","Non-Wage & Salary, Work From Home","195"
"1","2026","Non-Wage & Salary, Other","386"
"1","2029","Military","0"
"1","2029","Agriculture and Mining","0"
"1","2029","Construction","12"
"1","2029","Manufacturing","1"
"1","2029","Wholesale Trade","1"
"1","2029","Retail Trade","5"
"1","2029","Finance and Real Estate","9"
"1","2029","Professional and Business Services","39"
"1","2029","Government","63"
"1","2029","Education","3"
"1","2029","Healthcare","9"
"1","2029","Transportation and Warehousing","0"
"1","2029","Utilities","0"
"1","2029","Entertainment","33"
"1","2029","Accommodation","0"
"1","2029","Food","213"
"1","2029","Other","17"
"1","2029","Non-Wage & Salary, Work From Home","195"
"1","2029","Non-Wage & Salary, Other","386"
"1","2032","Military","0"
"1","2032","Agriculture and Mining","0"
"1","2032","Construction","13"
"1","2032","Manufacturing","1"
"1","2032","Wholesale Trade","2"
"1","2032","Retail Trade","5"
"1","2032","Finance and Real Estate","9"
"1","2032","Professional and Business Services","40"
"1","2032","Government","69"
"1","2032","Education","4"
"1","2032","Healthcare","9"
"1","2032","Transportation and Warehousing","0"
"1","2032","Utilities","0"
"1","2032","Entertainment","33"
"1","2032","Accommodation","0"
"1","2032","Food","205"
"1","2032","Other","15"
"1","2032","Non-Wage & Salary, Work From Home","195"
"1","2032","Non-Wage & Salary, Other","386"
"1","2035","Military","0"
"1","2035","Agriculture and Mining","0"
"1","2035","Construction","13"
"1","2035","Manufacturing","2"
"1","2035","Wholesale Trade","3"
"1","2035","Retail Trade","6"
"1","2035","Finance and Real Estate","9"
"1","2035","Professional and Business Services","41"
"1","2035","Government","72"
"1","2035","Education","4"
"1","2035","Healthcare","11"
"1","2035","Transportation and Warehousing","0"
"1","2035","Utilities","0"
"1","2035","Entertainment","32"
"1","2035","Accommodation","0"
"1","2035","Food","200"
"1","2035","Other","12"
"1","2035","Non-Wage & Salary, Work From Home","195"
"1","2035","Non-Wage & Salary, Other","387"
"1","2040","Military","0"
"1","2040","Agriculture and Mining","0"
"1","2040","Construction","11"
"1","2040","Manufacturing","3"
"1","2040","Wholesale Trade","2"
"1","2040","Retail Trade","6"
"1","2040","Finance and Real Estate","8"
"1","2040","Professional and Business Services","43"
"1","2040","Government","79"
"1","2040","Education","5"
"1","2040","Healthcare","14"
"1","2040","Transportation and Warehousing","0"
"1","2040","Utilities","0"
"1","2040","Entertainment","33"
"1","2040","Accommodation","0"
"1","2040","Food","191"
"1","2040","Other","10"
"1","2040","Non-Wage & Salary, Work From Home","195"
"1","2040","Non-Wage & Salary, Other","389"
"1","2050","Military","0"
"1","2050","Agriculture and Mining","0"
"1","2050","Construction","10"
"1","2050","Manufacturing","3"
"1","2050","Wholesale Trade","2"
"1","2050","Retail Trade","6"
"1","2050","Finance and Real Estate","7"
"1","2050","Professional and Business Services","46"
"1","2050","Government","86"
"1","2050","Education","5"
"1","2050","Healthcare","15"
"1","2050","Transportation and Warehousing","0"
"1","2050","Utilities","0"
"1","2050","Entertainment","33"
"1","2050","Accommodation","0"
"1","2050","Food","183"
"1","2050","Other","9"
