"tract","yr_id","full_name","jobs"
"1","2010","Military","0"
"1","2010","Agriculture and Mining","0"
"1","2010","Construction","0"
"1","2010","Manufacturing","0"
"1","2010","Wholesale Trade","0"
"1","2010","Retail Trade","0"
"1","2010","Transporation, Warehousing, and Utilities","0"
"1","2010","Information","0"
"1","2010","Finance and Real Estate","0"
"1","2010","Professional and Business Services","0"
"1","2010","Education and Healthcare","0"
"1","2010","Leisure and Hospitality","0"
"1","2010","Office Services","0"
"1","2010","Government","0"
"1","2010","Self-Employed","0"
"10","2010","Military","0"
"10","2010","Agriculture and Mining","0"
"10","2010","Construction","0"
"10","2010","Manufacturing","0"
"10","2010","Wholesale Trade","0"
"10","2010","Retail Trade","0"
"10","2010","Transporation, Warehousing, and Utilities","0"
"10","2010","Information","0"
"10","2010","Finance and Real Estate","0"
"10","2010","Professional and Business Services","0"
"10","2010","Education and Healthcare","0"
"10","2010","Leisure and Hospitality","0"
"10","2010","Office Services","0"
"10","2010","Government","0"
"10","2010","Self-Employed","0"
"100.01","2010","Military","0"
"100.01","2010","Agriculture and Mining","0"
"100.01","2010","Construction","0"
"100.01","2010","Manufacturing","0"
"100.01","2010","Wholesale Trade","0"
"100.01","2010","Retail Trade","0"
"100.01","2010","Transporation, Warehousing, and Utilities","0"
"100.01","2010","Information","0"
"100.01","2010","Finance and Real Estate","0"
"100.01","2010","Professional and Business Services","0"
"100.01","2010","Education and Healthcare","0"
"100.01","2010","Leisure and Hospitality","0"
"100.01","2010","Office Services","0"
"100.01","2010","Government","0"
"100.01","2010","Self-Employed","0"
"100.03","2010","Military","0"
"100.03","2010","Agriculture and Mining","0"
"100.03","2010","Construction","0"
"100.03","2010","Manufacturing","0"
"100.03","2010","Wholesale Trade","0"
"100.03","2010","Retail Trade","0"
"100.03","2010","Transporation, Warehousing, and Utilities","0"
"100.03","2010","Information","0"
"100.03","2010","Finance and Real Estate","0"
"100.03","2010","Professional and Business Services","0"
"100.03","2010","Education and Healthcare","0"
"100.03","2010","Leisure and Hospitality","0"
"100.03","2010","Office Services","0"
"100.03","2010","Government","0"
"100.03","2010","Self-Employed","0"
"100.04","2010","Military","0"
"100.04","2010","Agriculture and Mining","0"
"100.04","2010","Construction","0"
"100.04","2010","Manufacturing","0"
"100.04","2010","Wholesale Trade","0"
"100.04","2010","Retail Trade","0"
"100.04","2010","Transporation, Warehousing, and Utilities","0"
"100.04","2010","Information","0"
"100.04","2010","Finance and Real Estate","0"
"100.04","2010","Professional and Business Services","0"
"100.04","2010","Education and Healthcare","0"
"100.04","2010","Leisure and Hospitality","0"
"100.04","2010","Office Services","0"
"100.04","2010","Government","0"
"100.04","2010","Self-Employed","0"
"100.05","2010","Military","0"
"100.05","2010","Agriculture and Mining","0"
"100.05","2010","Construction","0"
"100.05","2010","Manufacturing","0"
"100.05","2010","Wholesale Trade","0"
"100.05","2010","Retail Trade","0"
"100.05","2010","Transporation, Warehousing, and Utilities","0"
"100.05","2010","Information","0"
"100.05","2010","Finance and Real Estate","0"
"100.05","2010","Professional and Business Services","0"
"100.05","2010","Education and Healthcare","0"
"100.05","2010","Leisure and Hospitality","0"
"100.05","2010","Office Services","0"
"100.05","2010","Government","0"
"100.05","2010","Self-Employed","0"
"100.09","2010","Military","0"
"100.09","2010","Agriculture and Mining","0"
"100.09","2010","Construction","0"
"100.09","2010","Manufacturing","0"
"100.09","2010","Wholesale Trade","0"
"100.09","2010","Retail Trade","0"
"100.09","2010","Transporation, Warehousing, and Utilities","0"
"100.09","2010","Information","0"
"100.09","2010","Finance and Real Estate","0"
"100.09","2010","Professional and Business Services","0"
"100.09","2010","Education and Healthcare","0"
"100.09","2010","Leisure and Hospitality","0"
"100.09","2010","Office Services","0"
"100.09","2010","Government","0"
"100.09","2010","Self-Employed","0"
"100.1","2010","Military","0"
"100.1","2010","Agriculture and Mining","0"
"100.1","2010","Construction","0"
"100.1","2010","Manufacturing","0"
"100.1","2010","Wholesale Trade","0"
"100.1","2010","Retail Trade","0"
"100.1","2010","Transporation, Warehousing, and Utilities","0"
"100.1","2010","Information","0"
"100.1","2010","Finance and Real Estate","0"
"100.1","2010","Professional and Business Services","0"
"100.1","2010","Education and Healthcare","0"
"100.1","2010","Leisure and Hospitality","0"
"100.1","2010","Office Services","0"
"100.1","2010","Government","0"
"100.1","2010","Self-Employed","0"
"100.11","2010","Military","0"
"100.11","2010","Agriculture and Mining","0"
"100.11","2010","Construction","0"
"100.11","2010","Manufacturing","0"
"100.11","2010","Wholesale Trade","0"
"100.11","2010","Retail Trade","0"
"100.11","2010","Transporation, Warehousing, and Utilities","0"
"100.11","2010","Information","0"
"100.11","2010","Finance and Real Estate","0"
"100.11","2010","Professional and Business Services","0"
"100.11","2010","Education and Healthcare","0"
"100.11","2010","Leisure and Hospitality","0"
"100.11","2010","Office Services","0"
"100.11","2010","Government","0"
"100.11","2010","Self-Employed","0"
"100.12","2010","Military","0"
"100.12","2010","Agriculture and Mining","0"
"100.12","2010","Construction","0"
"100.12","2010","Manufacturing","0"
"100.12","2010","Wholesale Trade","0"
"100.12","2010","Retail Trade","0"
"100.12","2010","Transporation, Warehousing, and Utilities","0"
"100.12","2010","Information","0"
"100.12","2010","Finance and Real Estate","0"
"100.12","2010","Professional and Business Services","0"
"100.12","2010","Education and Healthcare","0"
"100.12","2010","Leisure and Hospitality","0"
"100.12","2010","Office Services","0"
"100.12","2010","Government","0"
"100.12","2010","Self-Employed","0"
"100.13","2010","Military","0"
"100.13","2010","Agriculture and Mining","0"
"100.13","2010","Construction","0"
"100.13","2010","Manufacturing","0"
"100.13","2010","Wholesale Trade","0"
"100.13","2010","Retail Trade","0"
"100.13","2010","Transporation, Warehousing, and Utilities","0"
"100.13","2010","Information","0"
"100.13","2010","Finance and Real Estate","0"
"100.13","2010","Professional and Business Services","0"
"100.13","2010","Education and Healthcare","0"
"100.13","2010","Leisure and Hospitality","0"
"100.13","2010","Office Services","0"
"100.13","2010","Government","0"
"100.13","2010","Self-Employed","0"
"100.14","2010","Military","0"
"100.14","2010","Agriculture and Mining","0"
"100.14","2010","Construction","0"
"100.14","2010","Manufacturing","0"
"100.14","2010","Wholesale Trade","0"
